date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:32	2667/2667	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Oct%202024%2001:38:32%20GMT	https://thewhisperer.io/robots.txt		(from )
09:38:32	13246/13246	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Oct%202024%2001:38:32%20GMT	https://thewhisperer.io/	C:/My%20Web%20Sites/whisper/thewhisperer.io/index.html	(from )
09:38:33	48556/48556	---M--	200	added ('OK')	font/woff2	etag:%22d45b0dd4cb6ee6e590ede559bc68daa2%22	https://thewhisperer.io/_next/static/media/a34f9d1faa5f3315-s.p.woff2	C:/My%20Web%20Sites/whisper/thewhisperer.io/_next/static/media/a34f9d1faa5f3315-s.p.woff2	(from https://thewhisperer.io/)
09:38:33	7951/7951	---MCZ	200	added ('OK')	text/css	etag:W/%22f706e62025f74d112acacff9ff4c9c87%22	https://thewhisperer.io/_next/static/css/25528bc0a25175a9.css	C:/My%20Web%20Sites/whisper/thewhisperer.io/_next/static/css/25528bc0a25175a9.css	(from https://thewhisperer.io/)
09:38:33	3718/3718	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216a895950fd8717d3da53791d5dd7965%22	https://thewhisperer.io/_next/static/chunks/webpack-005f00e4b1922939.js	C:/My%20Web%20Sites/whisper/thewhisperer.io/_next/static/chunks/webpack-005f00e4b1922939.js	(from https://thewhisperer.io/)
09:38:33	172830/172830	---MCZ	200	added ('OK')	application/javascript	etag:W/%222da2d316677bb3b4ae47b5775754dd5c%22	https://thewhisperer.io/_next/static/chunks/65d48fa5-90d452fe2d01acf8.js	C:/My%20Web%20Sites/whisper/thewhisperer.io/_next/static/chunks/65d48fa5-90d452fe2d01acf8.js	(from https://thewhisperer.io/)
09:38:34	123193/123193	---MCZ	200	added ('OK')	application/javascript	etag:W/%22404c6f7d20ff63f694a9f24f76c821ad%22	https://thewhisperer.io/_next/static/chunks/801-701a185ae5217979.js	C:/My%20Web%20Sites/whisper/thewhisperer.io/_next/static/chunks/801-701a185ae5217979.js	(from https://thewhisperer.io/)
09:38:34	463/463	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e5df92e91172888a1aad662e440b2d7f%22	https://thewhisperer.io/_next/static/chunks/main-app-5f694977282d4e0d.js	C:/My%20Web%20Sites/whisper/thewhisperer.io/_next/static/chunks/main-app-5f694977282d4e0d.js	(from https://thewhisperer.io/)
09:38:34	198050/198050	---MCZ	200	added ('OK')	application/javascript	etag:W/%220063965161d83642e55b540a3cf4f5d2%22	https://thewhisperer.io/_next/static/chunks/553-6e885c047c908e11.js	C:/My%20Web%20Sites/whisper/thewhisperer.io/_next/static/chunks/553-6e885c047c908e11.js	(from https://thewhisperer.io/)
09:38:34	18181/18181	---MCZ	200	added ('OK')	application/javascript	etag:W/%22845720e0f723402bb9d03318fbebaf49%22	https://thewhisperer.io/_next/static/chunks/224-4b422ab1942def92.js	C:/My%20Web%20Sites/whisper/thewhisperer.io/_next/static/chunks/224-4b422ab1942def92.js	(from https://thewhisperer.io/)
